Date,Price,Open,High,Low,Vol.,Change %
23-07-2022,0.35932,0.35766,0.36276,0.34987,203.40M,0.47%
22-07-2022,0.35765,0.36679,0.37133,0.35427,329.79M,-2.50%
21-07-2022,0.36681,0.36256,0.36822,0.34886,394.25M,1.17%
20-07-2022,0.36258,0.3734,0.38145,0.35761,485.32M,-2.90%
19-07-2022,0.37341,0.36565,0.37657,0.35165,544.06M,2.11%
18-07-2022,0.3657,0.34317,0.36963,0.34307,572.00M,6.58%
17-07-2022,0.34314,0.35036,0.3604,0.34245,290.48M,-2.10%
16-07-2022,0.35051,0.33403,0.35594,0.33157,385.80M,4.94%
15-07-2022,0.33403,0.33363,0.34864,0.32777,538.80M,0.12%
14-07-2022,0.33363,0.3237,0.33388,0.31262,456.44M,3.07%
13-07-2022,0.3237,0.31172,0.32563,0.30335,520.81M,3.85%
12-07-2022,0.31171,0.3151,0.31802,0.30801,375.63M,-1.08%
11-07-2022,0.3151,0.32531,0.32888,0.31097,358.57M,-3.14%
10-07-2022,0.3253,0.34478,0.34488,0.32058,324.31M,-5.65%
09-07-2022,0.34478,0.3407,0.34762,0.33966,182.92M,1.18%
08-07-2022,0.34075,0.34244,0.35837,0.33601,549.48M,-0.58%
07-07-2022,0.34274,0.33248,0.3452,0.32692,384.27M,3.10%
06-07-2022,0.33244,0.32567,0.33399,0.32008,450.08M,2.06%
05-07-2022,0.32574,0.32861,0.33094,0.31339,492.08M,-0.87%
04-07-2022,0.32859,0.32146,0.32976,0.31481,379.97M,2.22%
03-07-2022,0.32144,0.31553,0.32562,0.30916,279.12M,1.89%
02-07-2022,0.31549,0.31397,0.31795,0.30979,251.14M,0.49%
01-07-2022,0.31397,0.33205,0.33446,0.31046,511.23M,-5.44%
30-06-2022,0.33202,0.3294,0.33249,0.30612,646.65M,0.80%
29-06-2022,0.3294,0.33743,0.34153,0.32064,474.44M,-2.38%
28-06-2022,0.33743,0.3534,0.3556,0.33568,453.52M,-4.50%
27-06-2022,0.35332,0.35904,0.36696,0.34904,381.45M,-1.59%
26-06-2022,0.35903,0.36754,0.3748,0.35771,258.89M,-2.31%
25-06-2022,0.36752,0.36734,0.37378,0.3544,292.63M,0.04%
24-06-2022,0.36738,0.33571,0.38633,0.33513,808.82M,9.44%
23-06-2022,0.33568,0.32224,0.33686,0.32142,408.83M,4.19%
22-06-2022,0.32219,0.32936,0.32958,0.31907,443.83M,-2.18%
21-06-2022,0.32936,0.32242,0.3371,0.31922,518.67M,2.15%
20-06-2022,0.32242,0.32628,0.32861,0.31377,463.92M,-1.18%
19-06-2022,0.32626,0.3075,0.33267,0.29839,515.68M,6.10%
18-06-2022,0.3075,0.32092,0.32627,0.28757,717.57M,-4.18%
17-06-2022,0.32092,0.31311,0.33948,0.31065,571.41M,2.52%
16-06-2022,0.31304,0.3436,0.34696,0.30746,788.83M,-8.89%
15-06-2022,0.34359,0.32173,0.34662,0.29883,1.15B,6.78%
14-06-2022,0.32177,0.31165,0.32486,0.29388,1.06B,3.24%
13-06-2022,0.31166,0.34322,0.34993,0.30155,1.41B,-9.18%
12-06-2022,0.34318,0.35966,0.36513,0.33994,602.16M,-4.56%
11-06-2022,0.35957,0.38154,0.3884,0.35634,473.87M,-5.76%
10-06-2022,0.38155,0.40025,0.41173,0.37725,600.31M,-4.67%
09-06-2022,0.40024,0.40055,0.404,0.39695,396.77M,-0.07%
08-06-2022,0.4005,0.4076,0.41019,0.39511,479.64M,-1.76%
07-06-2022,0.40767,0.40277,0.41706,0.38513,671.05M,1.22%
06-06-2022,0.40277,0.39543,0.40919,0.39419,415.31M,1.86%
05-06-2022,0.39542,0.39242,0.39949,0.38965,215.22M,0.76%
04-06-2022,0.39242,0.39037,0.39389,0.38497,216.56M,0.53%
03-06-2022,0.39037,0.40545,0.41032,0.38432,473.68M,-3.72%
02-06-2022,0.40545,0.398,0.40705,0.39099,558.63M,1.86%
01-06-2022,0.39802,0.42162,0.42625,0.38985,671.55M,-5.58%
31-05-2022,0.42156,0.41861,0.43342,0.40694,634.00M,0.71%
30-05-2022,0.41859,0.3891,0.41955,0.38699,552.42M,7.58%
29-05-2022,0.3891,0.38631,0.39004,0.37945,279.30M,0.71%
28-05-2022,0.38637,0.38155,0.38868,0.38068,333.92M,1.28%
27-05-2022,0.38149,0.39256,0.40285,0.3766,792.88M,-2.84%
26-05-2022,0.39265,0.40617,0.41088,0.37714,862.26M,-3.33%
25-05-2022,0.4062,0.40859,0.41329,0.39577,584.59M,-0.58%
24-05-2022,0.40858,0.40517,0.4135,0.39084,439.11M,0.86%
23-05-2022,0.40509,0.4218,0.42854,0.4005,443.63M,-3.96%
22-05-2022,0.4218,0.41446,0.42495,0.41044,268.32M,1.76%
21-05-2022,0.41449,0.41021,0.41793,0.40368,251.00M,1.04%
20-05-2022,0.41021,0.42026,0.43955,0.40176,619.25M,-2.39%
19-05-2022,0.42026,0.40519,0.42394,0.392,507.82M,3.71%
18-05-2022,0.40523,0.43791,0.44248,0.40472,667.12M,-7.46%
17-05-2022,0.43789,0.42304,0.44021,0.41732,674.39M,3.53%
16-05-2022,0.42296,0.44798,0.44798,0.40952,768.30M,-5.58%
15-05-2022,0.44795,0.4261,0.44953,0.41537,485.87M,5.13%
14-05-2022,0.42609,0.42282,0.44069,0.39656,808.36M,0.77%
13-05-2022,0.42282,0.38487,0.46321,0.38092,1.18B,9.85%
12-05-2022,0.3849,0.41579,0.4288,0.33665,2.43B,-7.41%
11-05-2022,0.41569,0.51326,0.52299,0.36553,2.58B,-19.00%
10-05-2022,0.51321,0.48731,0.53627,0.47336,1.51B,5.24%
09-05-2022,0.48766,0.56622,0.57851,0.47514,1.35B,-13.87%
08-05-2022,0.56619,0.58075,0.58286,0.55848,559.53M,-2.51%
07-05-2022,0.58075,0.60218,0.6043,0.56966,410.71M,-3.56%
06-05-2022,0.60218,0.59815,0.61571,0.58819,627.49M,0.69%
05-05-2022,0.59809,0.64606,0.6567,0.58954,737.32M,-7.43%
04-05-2022,0.64609,0.60464,0.64926,0.60422,603.13M,6.86%
03-05-2022,0.60461,0.61438,0.62727,0.5962,486.44M,-1.59%
02-05-2022,0.61438,0.607,0.63039,0.5986,565.44M,1.21%
01-05-2022,0.60702,0.58523,0.61236,0.57763,484.63M,3.72%
30-04-2022,0.58523,0.61153,0.62821,0.57131,572.63M,-4.30%
29-04-2022,0.61153,0.64282,0.64692,0.601,582.82M,-4.86%
28-04-2022,0.64279,0.65213,0.65683,0.6345,450.14M,-1.43%
27-04-2022,0.65211,0.64231,0.66225,0.63702,496.81M,1.51%
26-04-2022,0.64239,0.69308,0.70558,0.6291,634.35M,-7.31%
25-04-2022,0.69308,0.69832,0.69926,0.64634,647.88M,-0.75%
24-04-2022,0.69835,0.70549,0.71174,0.69574,229.18M,-1.01%
23-04-2022,0.70547,0.71783,0.72631,0.7031,348.93M,-1.72%
22-04-2022,0.71778,0.73275,0.73862,0.71488,461.04M,-2.05%
21-04-2022,0.7328,0.75165,0.7673,0.7205,500.74M,-2.51%
20-04-2022,0.75164,0.77478,0.77512,0.74248,493.23M,-2.99%
19-04-2022,0.77478,0.76963,0.78145,0.75908,567.78M,0.73%
18-04-2022,0.76917,0.75194,0.7694,0.72817,596.69M,2.30%
17-04-2022,0.75191,0.78102,0.78582,0.7483,422.30M,-3.73%
16-04-2022,0.78104,0.78573,0.7988,0.76616,439.79M,-0.58%
15-04-2022,0.7856,0.72625,0.79564,0.72621,812.68M,8.17%
14-04-2022,0.72628,0.72291,0.7406,0.70898,462.78M,0.49%
13-04-2022,0.72276,0.71509,0.72505,0.70203,433.36M,1.14%
12-04-2022,0.71462,0.69461,0.72506,0.69248,500.45M,2.88%
11-04-2022,0.69458,0.75422,0.7555,0.68415,648.89M,-7.91%
10-04-2022,0.7542,0.7622,0.77251,0.75289,234.62M,-1.05%
09-04-2022,0.76221,0.75509,0.76627,0.75341,197.11M,0.93%
08-04-2022,0.7552,0.78729,0.79337,0.74696,406.46M,-4.11%
07-04-2022,0.78756,0.75958,0.79076,0.75295,372.84M,3.68%
06-04-2022,0.75957,0.81643,0.81846,0.7586,610.29M,-6.96%
05-04-2022,0.81643,0.82637,0.83611,0.81476,316.93M,-1.21%
04-04-2022,0.82647,0.84305,0.84317,0.8065,399.05M,-1.97%
03-04-2022,0.84312,0.82392,0.8498,0.81521,294.49M,2.36%
02-04-2022,0.82369,0.82772,0.84972,0.8203,385.67M,-0.49%
01-04-2022,0.82774,0.81495,0.8339,0.80755,472.97M,1.56%
31-03-2022,0.81504,0.86136,0.87264,0.7982,630.62M,-5.38%
30-03-2022,0.86135,0.85771,0.8716,0.84659,392.68M,0.42%
29-03-2022,0.85771,0.86287,0.88545,0.84364,484.88M,-0.59%
28-03-2022,0.86282,0.85793,0.91125,0.85351,820.30M,0.59%
27-03-2022,0.85775,0.83286,0.85803,0.8287,346.34M,2.99%
26-03-2022,0.83286,0.82407,0.83493,0.82067,219.77M,1.07%
25-03-2022,0.82408,0.84265,0.84547,0.82083,385.53M,-2.22%
24-03-2022,0.84279,0.83763,0.84964,0.82739,515.91M,0.61%
23-03-2022,0.83765,0.8366,0.84563,0.8188,449.85M,0.13%
22-03-2022,0.8366,0.83734,0.86489,0.828,554.92M,-0.09%
21-03-2022,0.83736,0.80595,0.85426,0.78882,584.25M,3.88%
20-03-2022,0.80606,0.81958,0.8217,0.79651,344.78M,-1.66%
19-03-2022,0.8197,0.79652,0.82648,0.79181,467.54M,2.90%
18-03-2022,0.79661,0.7937,0.80049,0.77704,362.68M,0.42%
17-03-2022,0.79331,0.79204,0.80125,0.7833,436.90M,0.18%
16-03-2022,0.7919,0.76586,0.79427,0.75816,560.47M,3.40%
15-03-2022,0.76587,0.77453,0.77608,0.74218,407.33M,-1.12%
